,Team Name,Year,Games Played,Minutes,Wins,Loss,Win Percentage,Loss Percentage,Points,Three Pointers,Two Pointers,Second Chance Points,Counter Attack Points,Free Throws,Blocks,Blocked Attempts,Personal Fouls,Flagrant Fouls,Team Technical Fouls,Team Fouls,Total Fouls,Total Rebounds,Rebounds,Assists,Turnovers,Assists Turnover Ratio,Steals
134,Memphis Grizzlies,2017,82,19705.0,22,60,26.83,73.17,8145,758,2255,960,1080,1361,396,421,1900,3,20,31,1931,4001,3323,1767,1227,1.44,613
135,Miami Heat,2017,82,19930.0,44,38,53.66,46.34,8480,903,2281,922,762,1209,437,378,1648,1,16,24,1672,4203,3564,1862,1178,1.58,620
136,Milwaukee Bucks,2017,82,19830.0,44,38,53.66,46.34,8731,718,2539,861,1201,1499,443,366,1752,9,21,22,1774,3868,3267,1905,1134,1.68,722
137,Minnesota Timberwolves,2017,82,19805.0,47,35,57.32,42.68,8980,658,2707,1114,793,1592,345,382,1495,5,20,27,1522,4082,3441,1862,1021,1.82,689
138,New Orleans Pelicans,2017,82,19955.0,48,34,58.54,41.46,9161,837,2663,980,1251,1324,485,344,1570,5,16,24,1594,4271,3635,2195,1223,1.79,657
139,New York Knicks,2017,82,19830.0,29,53,35.37,64.63,8566,673,2661,1101,705,1225,421,389,1682,6,28,36,1718,4279,3611,1912,1207,1.58,552
140,Oklahoma City Thunder,2017,82,19830.0,48,34,58.54,41.46,8844,881,2390,1239,1246,1421,412,377,1653,5,27,32,1685,4483,3695,1750,1147,1.53,743
141,Orlando Magic,2017,82,19730.0,25,57,30.49,69.51,8479,844,2338,879,1037,1271,400,402,1579,3,14,18,1597,4082,3414,1921,1191,1.61,622
142,Philadelphia 76ers,2017,82,19780.0,52,30,63.41,36.59,9004,901,2448,1121,939,1405,420,417,1811,7,20,23,1834,4557,3889,2221,1353,1.64,682
143,Phoenix Suns,2017,82,19705.0,21,61,25.61,74.39,8522,763,2390,1061,1177,1453,370,488,1807,10,22,23,1830,4361,3618,1743,1289,1.35,569
144,Portland Trail Blazers,2017,82,19755.0,49,33,59.76,40.24,8661,845,2377,1110,662,1372,423,418,1599,4,14,16,1615,4378,3728,1599,1109,1.44,573
145,Sacramento Kings,2017,82,19755.0,27,55,32.93,67.07,8104,738,2441,941,856,1008,340,389,1639,2,12,14,1653,4011,3354,1768,1125,1.57,643
146,San Antonio Spurs,2017,82,19730.0,47,35,57.32,42.68,8424,696,2506,1095,841,1324,460,318,1408,0,19,31,1439,4247,3626,1868,1078,1.73,628
147,Toronto Raptors,2017,82,19830.0,59,23,71.95,28.05,9156,968,2415,1058,1089,1422,500,401,1783,2,17,20,1803,4220,3607,1995,1095,1.82,626
148,Utah Jazz,2017,82,19755.0,48,34,58.54,41.46,8540,887,2252,931,834,1375,420,380,1608,1,18,23,1631,4163,3547,1839,1205,1.53,708
149,Washington Wizards,2017,82,19855.0,43,39,52.44,47.56,8742,814,2461,1040,950,1378,353,383,1746,3,22,28,1774,4192,3536,2065,1196,1.73,645
150,Atlanta Hawks,2018,82,19855.0,29,53,35.37,64.63,9294,1067,2325,1155,1249,1443,419,448,1932,8,27,29,1961,4487,3780,2118,1397,1.52,675
151,Boston Celtics,2018,82,19780.0,49,33,59.76,40.24,9216,1032,2419,1022,1332,1282,435,317,1670,5,14,16,1686,4281,3653,2155,1052,2.05,706
152,Brooklyn Nets,2018,82,19980.0,42,40,51.22,48.78,9204,1047,2254,1135,953,1555,339,432,1763,2,21,26,1789,4609,3819,1954,1236,1.58,539
153,Charlotte Hornets,2018,82,19830.0,39,43,47.56,52.44,9081,977,2320,1065,963,1510,405,492,1550,4,24,27,1577,4308,3592,1905,1002,1.9,591
154,Chicago Bulls,2018,82,19905.0,22,60,26.83,73.17,8605,745,2521,896,989,1328,351,473,1663,2,27,38,1701,4140,3517,1796,1159,1.55,603
155,Cleveland Cavaliers,2018,82,19755.0,19,63,23.17,76.83,8567,847,2342,1108,868,1342,195,459,1642,5,15,22,1664,4129,3498,1698,1106,1.54,534
156,Dallas Mavericks,2018,82,19780.0,33,49,40.24,59.76,8927,1022,2160,1061,1006,1541,351,368,1650,5,20,27,1677,4488,3716,1918,1167,1.64,533
157,Denver Nuggets,2018,82,19730.0,54,28,65.85,34.15,9075,903,2536,1274,1032,1294,363,407,1644,2,28,38,1682,4514,3804,2245,1102,2.04,634
158,Detroit Pistons,2018,82,19855.0,41,41,50.0,50.0,8778,993,2192,1088,823,1415,331,419,1811,5,18,22,1833,4434,3688,1845,1135,1.63,569
159,Golden State Warriors,2018,82,19805.0,57,25,69.51,30.49,9650,1087,2525,1031,1566,1339,525,295,1757,5,16,23,1780,4363,3787,2413,1169,2.06,625
160,Houston Rockets,2018,82,19830.0,53,29,64.63,35.37,9341,1323,1895,1074,987,1582,405,369,1803,2,20,23,1826,4139,3449,1741,1095,1.59,700
161,Indiana Pacers,2018,82,19705.0,48,34,58.54,41.46,8857,779,2611,1093,1196,1298,404,425,1594,5,22,31,1625,4232,3528,2128,1122,1.9,713
162,Los Angeles Clippers,2018,82,19830.0,48,34,58.54,41.46,9442,821,2563,1079,1172,1853,385,498,1913,6,27,37,1950,4413,3732,1970,1193,1.65,561
163,Los Angeles Lakers,2018,82,19780.0,37,45,45.12,54.88,9165,847,2644,1051,1586,1336,440,421,1701,4,42,51,1752,4595,3820,2096,1284,1.63,618
164,Memphis Grizzlies,2018,82,19880.0,33,49,40.24,59.76,8490,811,2302,916,1012,1453,448,402,1801,0,28,38,1839,4067,3426,1963,1147,1.71,684
165,Miami Heat,2018,82,19730.0,39,43,47.56,52.44,8668,928,2323,1160,813,1238,448,389,1712,2,17,20,1732,4557,3800,1991,1208,1.65,627
166,Milwaukee Bucks,2018,82,19780.0,60,22,73.17,26.83,9686,1105,2450,961,1452,1471,486,395,1608,2,23,29,1637,4712,4078,2136,1137,1.88,615
167,Minnesota Timberwolves,2018,82,19830.0,36,46,43.9,56.1,9223,827,2586,1235,956,1570,411,455,1664,3,12,14,1678,4403,3673,2018,1074,1.88,683
168,New Orleans Pelicans,2018,82,19755.0,33,49,40.24,59.76,9466,842,2739,1176,1216,1462,441,445,1732,1,22,28,1760,4545,3878,2216,1215,1.82,610
169,New York Knicks,2018,82,19780.0,17,65,20.73,79.27,8575,823,2311,1092,908,1484,422,458,1713,4,21,30,1743,4369,3668,1646,1151,1.43,557
170,Oklahoma City Thunder,2018,82,19855.0,49,33,59.76,40.24,9387,932,2565,1271,1494,1461,425,415,1839,5,17,25,1864,4703,3942,1917,1145,1.67,766
171,Orlando Magic,2018,82,19780.0,42,40,51.22,48.78,8800,937,2379,1014,887,1231,445,362,1526,2,24,31,1557,4323,3724,2095,1082,1.94,543
172,Philadelphia 76ers,2018,82,19805.0,51,31,62.2,37.8,9445,889,2518,1159,1230,1742,432,336,1745,5,16,20,1765,4600,3917,2207,1223,1.8,606
173,Phoenix Suns,2018,82,19880.0,19,63,23.17,76.83,8815,790,2499,992,1247,1447,418,411,1932,5,27,32,1964,3965,3311,1957,1279,1.53,735
174,Portland Trail Blazers,2018,82,19855.0,53,29,64.63,35.37,9402,904,2566,1232,905,1558,413,420,1669,2,19,22,1691,4578,3935,1887,1135,1.66,546
175,Sacramento Kings,2018,82,19730.0,39,43,47.56,52.44,9363,927,2614,1124,1715,1354,363,420,1751,4,22,30,1781,4418,3725,2083,1095,1.9,679
176,San Antonio Spurs,2018,82,19805.0,48,34,58.54,41.46,9156,812,2656,948,849,1408,386,332,1487,2,17,24,1511,4212,3667,2013,992,2.03,501
177,Toronto Raptors,2018,82,19880.0,58,24,70.73,29.27,9384,1015,2445,1037,1506,1449,437,368,1724,3,35,44,1768,4331,3706,2085,1150,1.81,680
178,Utah Jazz,2018,82,19755.0,50,32,60.98,39.02,9161,993,2321,1089,871,1540,483,376,1728,4,22,25,1753,4585,3801,2133,1240,1.72,663
179,Washington Wizards,2018,82,19930.0,32,50,39.02,60.98,9350,930,2526,1017,1156,1508,379,378,1701,4,22,30,1731,4159,3473,2154,1154,1.87,683
180,Atlanta Hawks,2019,67,16280.0,20,47,29.85,70.15,7488,805,1918,894,862,1237,341,428,1548,3,26,34,1582,3503,2898,1605,1086,1.48,523
181,Boston Celtics,2019,72,17430.0,48,24,66.67,33.33,8183,905,2066,954,1096,1336,406,396,1553,4,13,17,1570,3909,3317,1655,995,1.66,595
182,Brooklyn Nets,2019,72,17480.0,35,37,48.61,51.39,8048,941,1967,981,943,1291,323,379,1510,2,30,40,1550,4151,3449,1761,1099,1.6,464
183,Charlotte Hornets,2019,65,15750.0,23,42,35.38,64.62,6687,785,1640,873,756,1052,268,328,1223,3,21,25,1248,3314,2781,1549,949,1.63,428
184,Chicago Bulls,2019,65,15675.0,22,43,33.85,66.15,6945,793,1780,866,962,1006,265,384,1417,5,23,30,1447,3220,2721,1510,1005,1.5,652
185,Cleveland Cavaliers,2019,65,15725.0,19,46,29.23,70.77,6948,727,1892,879,685,983,211,412,1188,5,8,10,1198,3412,2876,1500,1073,1.4,448
186,Dallas Mavericks,2019,75,18175.0,43,32,57.33,42.67,8776,1136,1988,1085,879,1392,363,311,1462,5,15,25,1487,4148,3520,1849,953,1.94,460
187,Denver Nuggets,2019,73,17745.0,46,27,63.01,36.99,8124,801,2268,1039,864,1185,337,324,1485,2,19,25,1510,3818,3222,1952,1005,1.94,586
188,Detroit Pistons,2019,66,15965.0,20,46,30.3,69.7,7078,791,1804,880,724,1097,299,369,1299,7,15,21,1320,3348,2753,1589,1008,1.58,490
189,Golden State Warriors,2019,65,15725.0,15,50,23.08,76.92,6912,678,1832,773,894,1214,299,321,1304,2,15,22,1326,3294,2785,1663,969,1.72,534
190,Houston Rockets,2019,72,17380.0,44,28,61.11,38.89,8482,1126,1810,874,1049,1484,371,354,1566,7,8,10,1576,3799,3188,1557,1057,1.47,627
191,Indiana Pacers,2019,73,17620.0,45,28,61.64,38.36,7989,743,2332,861,935,1096,376,335,1445,4,11,15,1460,3690,3125,1888,967,1.95,543
192,Los Angeles Clippers,2019,72,17380.0,49,23,68.06,31.94,8377,895,2097,1024,986,1498,338,338,1594,5,19,27,1621,4049,3431,1708,1051,1.63,511
193,Los Angeles Lakers,2019,71,17090.0,52,19,73.24,26.76,8054,782,2224,1004,1303,1260,468,263,1471,4,15,23,1494,3847,3247,1803,1077,1.67,612
194,Memphis Grizzlies,2019,73,17570.0,34,39,46.58,53.42,8222,798,2308,1003,1253,1212,398,386,1546,6,20,21,1567,4017,3397,1965,1113,1.77,576
195,Miami Heat,2019,73,17745.0,44,29,60.27,39.73,8179,979,1901,861,827,1440,332,302,1501,6,18,22,1523,3877,3239,1892,1088,1.74,547
196,Milwaukee Bucks,2019,73,17595.0,56,17,76.71,23.29,8663,1007,2153,901,1312,1336,429,326,1431,6,29,38,1469,4357,3774,1889,1102,1.71,526
197,Minnesota Timberwolves,2019,64,15560.0,19,45,29.69,70.31,7248,853,1733,866,721,1223,362,355,1370,3,17,26,1396,3466,2868,1525,981,1.55,555
198,New Orleans Pelicans,2019,72,17430.0,30,42,41.67,58.33,8341,982,2083,1046,1195,1229,358,348,1524,4,22,29,1553,4039,3348,1932,1181,1.64,539
199,New York Knicks,2019,66,15965.0,21,45,31.82,68.18,6983,631,2007,1011,621,1076,313,333,1464,11,14,15,1479,3703,3069,1456,946,1.54,504
200,Oklahoma City Thunder,2019,72,17430.0,44,28,61.11,38.89,7950,770,2109,769,683,1422,353,290,1390,5,14,20,1410,3684,3088,1562,986,1.58,550
201,Orlando Magic,2019,73,17570.0,33,40,45.21,54.79,7831,807,2064,925,872,1282,396,338,1336,2,15,21,1357,3854,3249,1747,937,1.86,599
202,Philadelphia 76ers,2019,73,17595.0,43,30,58.9,41.1,8084,848,2152,954,987,1236,389,294,1529,6,26,35,1564,3926,3317,1884,1037,1.82,586
203,Phoenix Suns,2019,73,17595.0,34,39,46.58,53.42,8294,831,2175,889,1072,1451,290,401,1609,11,9,9,1618,3698,3177,1987,1077,1.84,559
204,Portland Trail Blazers,2019,74,17835.0,35,39,47.3,52.7,8508,952,2170,943,974,1312,451,364,1606,6,30,37,1643,3951,3353,1525,946,1.61,465
205,Sacramento Kings,2019,72,17455.0,31,41,43.06,56.94,7927,914,2029,911,917,1127,293,304,1595,3,17,23,1618,3633,3067,1713,1043,1.64,556
206,San Antonio Spurs,2019,71,17215.0,32,39,45.07,54.93,8098,760,2235,779,946,1348,390,308,1377,5,14,20,1397,3668,3170,1751,895,1.96,518
207,Toronto Raptors,2019,72,17380.0,53,19,73.61,26.39,8118,995,1902,856,1356,1329,358,395,1559,6,39,51,1610,3865,3268,1816,1067,1.7,636
208,Utah Jazz,2019,72,17355.0,44,28,61.11,38.89,8013,963,1923,893,754,1278,292,329,1468,6,22,29,1497,3806,3233,1615,1089,1.48,438
209,Washington Wizards,2019,72,17355.0,25,47,34.72,65.28,8238,864,2126,946,965,1394,309,363,1634,5,25,34,1668,3637,3027,1801,1020,1.77,574
210,Atlanta Hawks,2020,72,17405.0,41,31,56.94,43.06,8186,895,2042,1032,717,1417,342,363,1392,4,12,14,1406,3836,3285,1737,953,1.82,503
211,Boston Celtics,2020,72,17380.0,36,36,50.0,50.0,8109,979,2006,961,853,1160,383,334,1471,5,6,9,1480,3777,3186,1689,1012,1.67,556
212,Brooklyn Nets,2020,72,17405.0,48,24,66.67,33.33,8537,1020,2086,885,1031,1305,379,330,1371,1,12,12,1383,3725,3199,1929,975,1.98,484
213,Charlotte Hornets,2020,72,17355.0,33,39,45.83,54.17,7881,985,1890,914,976,1146,344,347,1298,3,26,31,1329,3734,3151,1933,1069,1.81,565
214,Chicago Bulls,2020,72,17380.0,31,41,43.06,56.94,7969,904,2131,952,830,995,304,364,1362,5,10,16,1378,3766,3237,1927,1089,1.77,482
215,Cleveland Cavaliers,2020,72,17430.0,22,50,30.56,69.44,7476,720,2058,932,817,1200,325,425,1308,3,19,27,1335,3706,3078,1716,1114,1.54,559
216,Dallas Mavericks,2020,72,17305.0,42,30,58.33,41.67,8096,994,1964,887,819,1186,311,264,1396,8,10,17,1413,3687,3120,1647,869,1.9,450
217,Denver Nuggets,2020,72,17480.0,47,25,65.28,34.72,8284,927,2187,990,893,1129,323,325,1374,3,19,27,1401,3738,3200,1933,972,1.99,582
218,Detroit Pistons,2020,72,17430.0,20,52,27.78,72.22,7676,832,1951,917,768,1278,371,419,1477,7,13,15,1492,3682,3075,1743,1075,1.62,531
219,Golden State Warriors,2020,72,17305.0,39,33,54.17,45.83,8187,1048,1925,753,1039,1193,342,312,1526,5,11,15,1541,3640,3098,1991,1080,1.84,587
220,Houston Rockets,2020,72,17305.0,17,55,23.61,76.39,7833,992,1834,878,802,1189,361,378,1407,6,13,16,1423,3648,3067,1699,1060,1.6,546
221,Indiana Pacers,2020,72,17455.0,34,38,47.22,52.78,8302,889,2226,922,1194,1183,460,380,1453,9,16,22,1475,3613,3072,1973,975,2.02,611
222,Los Angeles Clippers,2020,72,17280.0,47,25,65.28,34.72,8209,1027,1982,937,743,1164,295,304,1383,4,20,21,1404,3659,3179,1756,950,1.85,509
223,Los Angeles Lakers,2020,72,17455.0,42,30,58.33,41.67,7887,796,2129,956,956,1241,386,327,1377,9,14,21,1398,3812,3185,1775,1095,1.62,562
224,Memphis Grizzlies,2020,72,17405.0,38,34,52.78,47.22,8157,803,2282,1078,1244,1184,364,377,1349,6,19,26,1375,3883,3346,1938,957,2.03,655
225,Miami Heat,2020,72,17380.0,40,32,55.56,44.44,7781,932,1892,730,854,1201,286,287,1363,3,15,16,1379,3522,2988,1895,1013,1.87,569
226,Milwaukee Bucks,2020,72,17330.0,46,26,63.89,36.11,8649,1038,2183,951,1044,1169,334,348,1244,4,19,20,1264,4000,3465,1834,995,1.84,585
227,Minnesota Timberwolves,2020,72,17405.0,23,49,31.94,68.06,8073,944,1988,985,869,1265,398,398,1507,3,16,21,1528,3742,3133,1846,1027,1.8,632
228,New Orleans Pelicans,2020,72,17430.0,31,41,43.06,56.94,8251,762,2298,1070,1013,1369,315,426,1295,9,14,20,1315,4032,3413,1872,1052,1.78,545
229,New York Knicks,2020,72,17430.0,41,31,56.94,43.06,7706,847,1992,895,640,1181,365,391,1473,2,19,28,1501,3812,3250,1541,932,1.65,507
230,Oklahoma City Thunder,2020,72,17355.0,22,50,30.56,69.44,7560,857,1938,845,662,1113,316,378,1305,0,18,18,1323,3860,3283,1588,1162,1.37,504
231,Orlando Magic,2020,72,17330.0,21,51,29.17,70.83,7488,784,1970,949,741,1196,318,384,1237,5,9,12,1249,3795,3272,1571,924,1.7,496
232,Philadelphia 76ers,2020,72,17430.0,49,23,68.06,31.94,8182,811,2170,1002,1093,1409,447,335,1456,8,14,17,1473,3837,3244,1706,1040,1.64,655
233,Phoenix Suns,2020,72,17480.0,51,21,70.83,29.17,8300,940,2178,929,940,1124,312,258,1374,3,15,18,1392,3536,3092,1939,902,2.15,517
234,Portland Trail Blazers,2020,72,17305.0,42,30,58.33,41.67,8360,1132,1841,1054,836,1282,363,333,1362,5,12,15,1377,3722,3207,1531,799,1.92,496
235,Sacramento Kings,2020,72,17305.0,31,41,43.06,56.94,8189,874,2193,880,1015,1181,358,336,1400,2,15,17,1417,3567,2981,1836,924,1.99,543
236,San Antonio Spurs,2020,72,17480.0,33,39,45.83,54.17,7998,716,2298,872,845,1254,366,369,1293,3,5,8,1301,3683,3158,1759,821,2.14,505
237,Toronto Raptors,2020,72,17305.0,27,45,37.5,62.5,8011,1041,1818,897,988,1252,388,402,1526,6,24,33,1559,3550,2994,1735,952,1.82,618
238,Utah Jazz,2020,72,17355.0,52,20,72.22,27.78,8382,1205,1766,980,858,1235,371,282,1335,3,16,17,1352,4034,3474,1703,973,1.75,474
239,Washington Wizards,2020,72,17405.0,34,38,47.22,52.78,8398,733,2375,933,809,1449,297,348,1555,7,25,33,1588,3850,3254,1835,1037,1.77,528
240,Atlanta Hawks,2021,82,19705.0,43,39,52.44,47.56,9343,1056,2345,1002,796,1485,348,367,1534,9,16,23,1557,4213,3606,2017,972,2.08,587
241,Boston Celtics,2021,82,19905.0,51,31,62.2,37.8,9164,1085,2256,1066,907,1397,478,376,1521,7,20,27,1548,4349,3778,2036,1118,1.82,591
242,Brooklyn Nets,2021,82,19755.0,44,38,53.66,46.34,9258,940,2502,1124,1125,1434,448,403,1670,10,15,16,1686,4296,3640,2071,1153,1.8,582
243,Charlotte Hornets,2021,82,19880.0,43,39,52.44,47.56,9457,1143,2365,1107,1334,1298,402,377,1629,6,26,29,1658,4277,3655,2302,1087,2.12,707
244,Chicago Bulls,2021,82,19730.0,46,36,56.1,43.9,9152,872,2550,909,1045,1436,336,410,1540,7,9,12,1552,4039,3471,1958,1053,1.86,585
245,Cleveland Cavaliers,2021,82,19730.0,44,38,53.66,46.34,8839,953,2302,1032,915,1376,343,380,1433,5,17,24,1457,4261,3623,2064,1181,1.75,580
246,Dallas Mavericks,2021,82,19755.0,52,30,63.41,36.59,8858,1073,2149,898,821,1341,325,300,1612,4,15,19,1631,4154,3528,1918,1025,1.87,552
247,Denver Nuggets,2021,82,19805.0,48,34,58.54,41.46,9243,1039,2377,1027,1106,1372,305,392,1639,3,21,30,1669,4219,3617,2279,1189,1.92,592
248,Detroit Pistons,2021,82,19780.0,23,59,28.05,71.95,8596,925,2204,1113,859,1413,393,427,1799,5,18,23,1822,4175,3525,1924,1163,1.65,630
249,Golden State Warriors,2021,82,19730.0,53,29,64.63,35.37,9102,1176,2147,1037,1132,1280,372,317,1723,11,24,35,1758,4370,3730,2223,1174,1.89,719
250,Houston Rockets,2021,82,19755.0,20,62,24.39,75.61,8997,1105,2124,1166,1000,1434,382,474,1692,4,21,27,1719,4247,3446,1932,1351,1.43,600
251,Indiana Pacers,2021,82,19880.0,25,57,30.49,69.51,9140,997,2401,1204,1088,1347,457,401,1675,7,18,24,1699,4330,3596,2081,1183,1.76,582
252,Los Angeles Clippers,2021,82,19780.0,42,40,51.22,48.78,8890,1047,2238,890,972,1273,406,339,1528,7,22,24,1552,4217,3607,1969,1126,1.75,608
253,Los Angeles Lakers,2021,82,19980.0,33,49,40.24,59.76,9192,982,2433,994,1215,1380,425,338,1654,11,25,34,1688,4320,3608,1968,1191,1.65,626
254,Memphis Grizzlies,2021,82,19780.0,56,26,68.29,31.71,9480,945,2626,1533,1453,1393,533,496,1620,3,27,32,1652,4776,4032,2131,1082,1.97,800
255,Miami Heat,2021,82,19855.0,53,29,64.63,35.37,9022,1114,2132,1038,890,1416,265,330,1679,5,25,33,1712,4187,3585,2090,1194,1.75,606
256,Milwaukee Bucks,2021,82,19755.0,51,31,62.2,37.8,9470,1153,2276,1107,1078,1459,326,357,1494,6,25,34,1528,4485,3830,1960,1100,1.78,623
257,Minnesota Timberwolves,2021,82,19780.0,46,36,56.1,43.9,9507,1211,2200,1212,1247,1474,460,397,1786,5,38,45,1831,4287,3621,2106,1175,1.79,721
258,New Orleans Pelicans,2021,82,19755.0,36,46,43.9,56.1,8962,873,2421,1237,1170,1501,328,391,1612,7,20,23,1635,4351,3707,2047,1089,1.88,680
259,New York Knicks,2021,82,19780.0,37,45,45.12,54.88,8731,1082,2006,1186,870,1473,399,379,1672,5,16,20,1692,4538,3782,1793,1087,1.65,570
260,Oklahoma City Thunder,2021,82,19805.0,24,58,29.27,70.73,8506,991,2150,973,872,1233,380,490,1497,8,12,12,1509,4379,3741,1822,1145,1.59,622
261,Orlando Magic,2021,82,19780.0,22,60,26.83,73.17,8547,999,2140,1018,886,1270,367,428,1612,3,17,18,1630,4311,3631,1947,1188,1.64,555
262,Philadelphia 76ers,2021,82,19805.0,51,31,62.2,37.8,9015,950,2280,927,1003,1605,435,379,1590,9,20,23,1613,4062,3470,1945,1027,1.89,633
263,Phoenix Suns,2021,82,19730.0,64,18,78.05,21.95,9416,951,2630,994,1024,1303,359,327,1633,7,28,29,1662,4301,3714,2244,1012,2.22,702
264,Portland Trail Blazers,2021,82,19730.0,27,55,32.93,67.07,8711,1043,2118,1116,1019,1346,366,409,1728,10,12,15,1743,4159,3515,1880,1187,1.58,657
265,Sacramento Kings,2021,82,19805.0,30,52,36.59,63.41,9045,937,2384,1075,962,1466,369,395,1552,3,13,16,1568,4180,3521,1943,1156,1.68,588
266,San Antonio Spurs,2021,82,19805.0,34,48,41.46,58.54,9279,925,2621,1172,1116,1262,403,403,1483,3,16,22,1505,4376,3716,2289,1009,2.27,626
267,Toronto Raptors,2021,82,19855.0,48,34,58.54,41.46,8970,979,2353,1350,1299,1327,376,416,1607,6,21,29,1636,4411,3717,1809,1021,1.77,738
268,Utah Jazz,2021,82,19730.0,49,33,59.76,40.24,9316,1192,2135,1223,830,1470,402,352,1547,4,26,29,1576,4498,3800,1836,1149,1.6,588
269,Washington Wizards,2021,82,19830.0,35,47,42.68,57.32,8907,860,2467,976,802,1393,406,344,1545,3,20,21,1566,4147,3535,2052,1037,1.98,522
